;eumohp_dsd3;eumohp_lp3;eumohp_sd3;gwn_recharge;hyraum_gr;swr1000_swr;huek250_kf;huek250_ha;hengl_clay;hengl_sand;clc2018;twi;dwd_epot;dwd_psum;dwd_tmean;dwd_percfrost;dwd_rhmean;buek5000_bt
BY_22008;3427.0;175.0;60.0;66;6;298.922;12;K/Ka;22;27;15;3.785;593.195;682.5652934;9.273478214;0.105898818;76.51336524;15.0
BY_24153;1910.0;801.0;153.0;201;6;275.074;3;P;18;59;17;3.129;568.162;779.1834124;8.288913088;0.145120603;78.59982567;1.0
BY_25155;6082.0;6202.0;3772.0;271;4;451.068;2;P;22;39;12;4.058;572.438;982.2444263;8.394859313;0.146934826;78.28409864;18.0
BY_3108;330.0;8182.0;270.0;139;6;178.546;12;P;22;38;12;4.442;588.548;758.7992458;8.668336301;0.139626097;77.66085965;14.0
BY_5158;1820.0;2377.0;433.0;95;6;240.815;3;P;23;42;15;3.963;587.695;737.3612586;8.954915188;0.124162002;77.53370995;9.0
BY_5162;702.0;7688.0;540.0;145;6;241.586;3;P;22;35;12;4.302;602.762;700.8697712;9.263652167;0.111376045;77.27313275;14.0
BY_7126;1415.0;4692.0;664.0;221;4;339.767;2;P;22;39;2;3.855;613.133;870.6206181;9.084951207;0.141526712;79.60218236;11.0
BY_8252;1403.0;7648.0;1073.0;194;4;247.592;2;P;19;38;12;4.605;593.667;803.4102494;8.808428024;0.141474877;79.10399171;11.0
BY_83614;3879.0;700.0;272.0;126;6;354.473;5;K;21;39;15;2.832;586.095;908.566335;8.567090718;0.132351925;78.48516254;9.0
BY_9275;5098.0;3292.0;1678.0;159;4;316.954;2;P;19;38;12;4.161;593.238;823.6074237;8.730923581;0.139643375;79.35909399;11.0
HE_10319;4270.0;5784.0;2470.0;241;6;603.737;5;K;19;42;17;8.662;545.762;1032.990805;8.419112025;0.133250397;79.14396993;9.0
HE_11781;2654.0;3696.0;981.0;57;3;187.647;3;P;19;38;16;3.63;632.533;573.4473357;11.01222837;0.057502246;74.42397005;11.0
HE_12117;6001.0;335.0;201.0;180;3;151.335;9;P;24;33;2;3.404;621.857;734.0096974;10.36899602;0.06754095;75.07438005;11.0
HE_14293;2635.0;6776.0;1785.0;199;6;566.59;5;K;19;45;17;8.486;548.919;959.6704808;8.954915256;0.123246251;77.39429406;9.0
HE_14297;2955.0;2151.0;636.0;146;6;501.437;5;K;20;41;15;4.15;586.905;1031.930049;9.157211851;0.11410602;76.90757521;9.0
HE_6253;5642.0;9362.0;5282.0;102;5;296.044;5;K;27;28;2;2.735;559.029;729.5001752;8.512944494;0.123228972;78.55837325;14.0
HE_6645;4254.0;1369.0;582.0;115;8;424.935;9;P;23;33;2;7.277;575.686;840.1251099;8.48221146;0.115004492;79.52876173;9.0
HE_7824;1216.0;9651.0;1173.0;138;8;187.347;9;K;24;29;2;5.256;597.424;657.2231736;9.741251918;0.084871104;77.24462718;11.0
MV_16450200;;;;83;1;163.124;3;P;13;66;12;3.539;566.214;653.9862435;8.85292489;0.102114866;81.61307945;5.0
MV_17390002;2138.0;7396.0;1581.0;83;1;160.904;9;P;17;53;18;7.37;566.986;683.0612854;9.055832444;0.10125095;80.28797579;4.0
NI_100000728;7086.0;2713.0;1922.0;27;1;99.176;3;P;10;77;17;4.161;602.433;686.5443083;9.634549327;0.089449858;77.89390441;1.0
NI_100000842;2573.0;2607.0;671.0;97;5;219.792;11;K;12;75;12;3.783;597.833;672.1421902;9.816913177;0.086702606;76.70962439;7.0
NI_100000926;2580.0;1163.0;300.0;167;5;228.269;9;P;19;18;12;3.514;588.314;697.4847754;9.613372528;0.09128136;77.14780644;12.0
NI_129300060;6391.0;7668.0;4901.0;45;1;102.264;3;P;12;67;16;3.719;606.624;624.4607575;9.783758088;0.089449858;77.03295224;6.0
NI_200000620;4904.0;4922.0;2414.0;148;1;302.432;9;P;4;83;12;8.19;582.462;732.8406059;9.641870835;0.073916649;80.8114215;6.0
NI_200000788;6526.0;8575.0;5596.0;143;1;301.221;3;P;10;73;15;3.587;576.243;743.8797592;9.943914032;0.072102426;77.92332339;7.0
NI_200001068;7056.0;7871.0;5554.0;103;1;224.911;9;P;7;78;12;3.972;591.59;715.3137065;10.01146417;0.0748324;77.27670552;11.0
NI_200001722;6930.0;6544.0;4535.0;176;1;235.848;9;P;6;81;12;4.161;587.233;704.2351614;9.850896591;0.070288202;79.29027721;4.0
NI_200002153;5362.0;6731.0;3609.0;163;1;227.846;9;P;4;86;12;5.789;583.29;710.2334261;9.81501423;0.069372451;79.96586373;6.0
NI_40000175;4662.0;4384.0;2044.0;117;1;195.147;9;P;13;68;12;5.019;590.429;688.9666893;10.06844752;0.076663902;76.80388217;1.0
NI_40000233;4114.0;4793.0;1972.0;157;1;180.036;9;P;5;88;17;5.444;594.552;704.9463972;9.82812071;0.086702606;77.2349599;1.0
NI_400080190;5145.0;1109.0;571.0;132;1;351.726;3;P;10;80;12;5.468;579.129;873.9414584;9.439167205;0.086702606;81.03157185;6.0
NI_400081660;7711.0;522.0;402.0;132;1;361.082;3;P;4;96;12;3.685;579.976;822.4783911;9.397180411;0.087601078;81.60704265;4.0
NI_40501911;7338.0;8143.0;5975.0;172;1;350.898;3;P;6;82;12;2.947;581.267;828.9859979;9.805322219;0.063877946;81.35544133;7.0
NI_405160331;6554.0;3824.0;2506.0;193;1;325.967;9;P;3;90;12;7.315;577.576;852.0761838;9.365391945;0.088516829;80.62448695;7.0
NI_500000592;6478.0;3419.0;2215.0;82;1;321.018;9;P;18;52;12;3.936;587.467;765.6033479;9.664161876;0.078478126;80.25289424;7.0
NI_600041871;909.0;5608.0;510.0;156;1;221.545;3;P;6;85;2;4.272;593.967;700.3180473;9.23854385;0.100352478;79.92984786;7.0
NI_9700020;2381.0;797.0;190.0;217;1;298.684;9;P;5;86;12;4.629;584.333;823.5005232;9.625520314;0.073916649;81.83299146;4.0
NI_9700080;2145.0;3566.0;765.0;193;1;319.503;9;P;6;88;2;4.431;583.61;773.7035483;9.912487989;0.068456701;79.67369562;4.0
NI_9700159;4821.0;3980.0;1919.0;119;1;270.464;9;P;5;87;2;4.058;584.6;749.3071447;9.783501673;0.068439422;80.53296168;11.0
NI_9840391;12617.0;9472.0;11951.0;151;1;286.527;9;P;11;79;15;4.302;575.41;856.9987043;9.672910444;0.054737715;82.93627353;7.0
NI_9840901;3378.0;4242.0;1433.0;54;1;305.562;3;P;14;66;3;11.582;580.781;807.7199633;9.59997665;0.063877946;82.68871757;6.0
NI_9853172;6758.0;6082.0;4110.0;60;1;260.859;3;P;12;83;15;7.427;582.876;833.9460901;9.741923334;0.066625199;81.5549564;6.0
NW_100140142;8809.0;7255.0;6390.0;149;1;273.545;3;P;11;51;12;7.827;585.81;741.3677802;10.06292674;0.06754095;77.88484406;4.0
NW_100140762;7646.0;6547.0;5006.0;179;5;270.9;6;K;17;57;2;3.724;585.976;723.5064482;10.21156101;0.06754095;76.9436646;4.0
NW_110040028;1844.0;3856.0;711.0;195;2;381.503;9;P;6;79;12;4.272;582.043;882.4572016;9.913027611;0.069372451;79.08250385;4.0
NW_110040041;5627.0;7974.0;4487.0;203;2;335.726;9;P;6;84;12;4.568;587.881;814.359463;10.12307278;0.059299191;78.63045266;4.0
NW_110060143;2081.0;6330.0;1317.0;212;2;252.695;9;P;5;78;15;9.043;589.224;776.675616;10.14643226;0.056551939;78.63007527;1.0
NW_110240017;1185.0;6350.0;752.0;209;2;313.89;9;P;4;85;17;3.62;583.795;836.0963497;10.0463058;0.053821964;79.56455303;4.0
NW_129660176;1009.0;7621.0;769.0;178;8;520.336;2;K/Ka;29;24;15;3.482;558.181;1123.24259;8.595887155;0.101302785;80.26018293;16.0
NW_129660206;2908.0;2446.0;711.0;208;8;579.908;2;K/Ka;30;25;15;3.539;547.729;1123.24259;8.595887155;0.101302785;80.26018293;16.0
NW_60090169;5519.0;3719.0;2052.0;131;2;356.345;5;K/P;14;66;15;3.62;595.481;848.8332058;10.56494588;0.044733568;78.02415293;18.0
NW_60240258;6125.0;2678.0;1640.0;60;2;331.22;12;P;5;80;17;2.923;589.333;842.3897892;10.01348974;0.054720437;81.13065723;4.0
NW_80000186;777.0;8681.0;674.0;166;2;232.008;3;P;14;58;12;4.442;615.876;780.0505743;10.72774877;0.041087843;78.02229587;12.0
NW_80300376;923.0;7970.0;735.0;180;2;232.647;3;P;12;61;12;3.972;614.886;780.0505743;10.72774877;0.041087843;78.02229587;12.0
