;rr;long_rec;SD_dif;per;sk;jumps;seas_behav;hpd;med01
NW_110060143;0.664;18;0.189;0.713;-0.651;4.332;0.005;13.495;0.628
NW_110240017;0.539;30;0.082;0.687;0.408;8.968;0.006;32.967;0.38
NW_129660176;0.729;31;3.353;0.785;0.828;9.08;0.001;29.848;0.21
NW_129660206;0.569;28;0.942;0.71;0.996;11.022;0.001;32.4;0.272
NW_60090169;0.533;37;0.14;0.639;0.26;14.041;0.005;42;0.429
NW_60240258;0.631;20;0.122;0.707;-0.155;5.613;0.007;16.393;0.492
NW_80000186;0.466;26;0.075;0.534;0.066;16.168;0.009;29.222;0.436
NW_80300376;0.605;20;0.097;0.689;0.789;9.374;0.008;22.676;0.276
NW_91163705;0.692;26;1.221;0.672;0.323;5.582;0.002;18.267;0.353
NW_91174909;0.494;34;0.477;0.687;1.184;6.815;0.001;22.255;0.253
RP_2373131200;0.634;46;0.066;0.768;-0.024;8.547;0.002;35.026;0.499
RP_2378140100;0.398;38;0.07;0.599;-0.124;9.814;0.003;46.019;0.444
RP_2587150500;0.575;29;0.196;0.617;1.068;14.954;0.001;30.535;0.299
SH_10L53126001;0.32;44;0.05;0.435;0.559;13.428;0.005;96.385;0.383
SH_10L54010004;0.727;28;0.066;0.724;0.252;3.493;0.362;32.538;0.403
SH_10L55005005;0.675;39;0.113;0.692;-0.387;8.134;0.033;16.632;0.601
SH_10L55038005;0.551;28;0.07;0.515;0.336;6.159;0.003;44.773;0.41
SH_10L56048003;0.552;25;0.078;0.615;0.371;6.721;0.029;31.645;0.417
SH_10L57066002;0.397;27;0.038;0.564;0.792;10.909;0.014;73.429;0.33
SH_10L62060004;0.655;36;0.081;0.698;0.23;7.902;0.019;28.25;0.384
SN_46440927;0.484;46;0.178;0.692;-0.048;10.596;0.002;29.566;0.45
SN_46460564;0.446;28;0.069;0.401;0.384;14.982;0.003;43.426;0.385
SN_47500596;0.359;35;0.072;0.33;1.136;8.335;0.001;60.88;0.23
SN_48390509;0.453;41;0.107;0.331;0.311;10.774;0.002;50.6;0.476
SN_49430964;0.631;11;0.428;0.582;-0.196;9.808;0.001;16.529;0.613
SN_49484004;0.374;33;0.101;0.437;0.7;9.96;0.002;52.412;0.246
SN_49531740;0.371;48;0.082;0.319;0.327;9.556;0;59.423;0.376
SN_52410759;0.356;30;0.138;0.301;0.595;11.566;0.001;37.064;0.479
ST_31340028;0.434;26;0.055;0.559;0.225;11.452;0.009;38.211;0.444
ST_33340002;0.547;34;0.062;0.669;0.364;7.569;0.01;36.971;0.428
ST_34376608;0.621;19;0.06;0.718;0.284;7.205;0.009;39;0.388
ST_36340007;0.44;27;0.079;0.657;0.411;6.13;0.005;33.545;0.493
ST_39320023;0.541;15;0.083;0.704;0.226;5.238;0.003;23.118;0.365
ST_40415442;0.478;28;0.094;0.638;0.665;10.67;0.003;43.688;0.315
ST_41300015;0.611;38;0.276;0.627;0.322;14.186;0.001;33.043;0.407
ST_43435116;0.359;44;0.062;0.429;0.49;8.301;0.002;81.25;0.331
ST_44339213;0.562;26;0.154;0.647;1.228;11.385;0.001;35.24;0.272
