Date,P,rH,T,Tsin
10.11.1952 00:00:00,82.3748504515715,88.490873946965,2.16155729790011,-3.1493494275973
17.11.1952 00:00:00,21.2851619584137,91.5123156423786,-3.31966007274734,-4.170853476501
24.11.1952 00:00:00,5.18789632898415,92.5886096037291,-1.29101195215558,-5.13219917993303
01.12.1952 00:00:00,58.4243111733244,92.2367689525599,2.37849490163468,-6.01952055882604
08.12.1952 00:00:00,2.81874367399132,88.9307830983304,-5.05545438397821,-6.82001932471349
15.12.1952 00:00:00,14.3998484052695,90.7656934911861,-1.75225410347704,-7.52214947588669
22.12.1952 00:00:00,42.7721478160046,90.3778368657079,-0.745593642377758,-8.1157838313089
29.12.1952 00:00:00,6.2365025525764,95.7385442558565,-0.737249753221333,-8.59236010012917
05.01.1953 00:00:00,7.53827311304618,93.6495689178087,-3.65947072168822,-8.94556935713728
12.01.1953 00:00:00,8.41860472587652,92.3603564264997,-4.05472742400657,-9.16937037040192
19.01.1953 00:00:00,2.55782757040601,91.564124899568,-4.53135788721592,-9.26019208478031
26.01.1953 00:00:00,1.60166969041034,85.6354600860566,-3.18205869511709,-9.21671735335513
02.02.1953 00:00:00,39.6003093183087,90.5569419186,0.0148257325883,-9.03957667081499
09.02.1953 00:00:00,40.5974374979352,89.3947915455348,-5.50634760206178,-8.73133902966645
16.02.1953 00:00:00,4.29738351624285,84.0512707837115,-2.26507984879945,-8.29647466327939
23.02.1953 00:00:00,3.32717560719215,85.8290644764974,1.00291330137507,-7.74129021608158
02.03.1953 00:00:00,0,77.4299336663517,1.91297536703269,-7.07383728108964
09.03.1953 00:00:00,1.40998706907015,75.2948427793466,1.57343034023475,-6.30379563127968
16.03.1953 00:00:00,2.15572665342281,70.5554405916761,0.874120010049939,-5.44233283808613
23.03.1953 00:00:00,0,51.3637746562839,6.42894939738224,-4.50194231312046
30.03.1953 00:00:00,0.305058786348384,55.0664371521666,8.58554607650813,-3.49626212175624
06.04.1953 00:00:00,7.28436141735854,66.1537808058016,8.74918296772301,-2.4398771963964
13.04.1953 00:00:00,19.221917891829,79.5446632249284,7.33592425787336,-1.34810781759657
20.04.1953 00:00:00,13.7228645819852,78.6632187712246,6.44716809206813,-0.236787430912313
27.04.1953 00:00:00,12.4107965411364,56.2437896390185,11.170282148872,0.877966978548825
04.05.1953 00:00:00,5.67782944556816,65.3192436142366,11.1508683367629,1.97998862352441
11.05.1953 00:00:00,25.6389845377055,78.1924572198459,5.58068692485096,3.0532953744208
18.05.1953 00:00:00,3.91169336902638,65.925947027295,13.5362397167378,4.08232154096062
25.05.1953 00:00:00,20.9301245947201,67.3219091365451,18.6451754487332,5.05214361448033
01.06.1953 00:00:00,40.1035013929531,77.3092331553455,10.7445257425557,5.94869669694952
08.06.1953 00:00:00,5.72759903859495,71.389286778069,12.1732125597607,6.75897847787654
15.06.1953 00:00:00,32.6663537229054,85.9595811846364,14.2098674166821,7.4712378011137
22.06.1953 00:00:00,43.0403841710148,80.0867992890894,14.6908010219583,8.07514508659137
29.06.1953 00:00:00,68.3437425306997,87.93057033231,15.6952557314012,8.56194213564245
06.07.1953 00:00:00,35.2008292675142,85.5176413063992,17.8289603573993,8.92456914723346
13.07.1953 00:00:00,13.704045416475,77.364930352046,15.3127782651132,9.15776710316194
20.07.1953 00:00:00,33.9244021702469,75.1645867785218,15.9165322631932,9.25815403722648
27.07.1953 00:00:00,43.802867016239,73.4534024966057,18.324759184193,9.22427408238605
03.08.1953 00:00:00,12.455232412446,79.1355306155952,14.678766305854,9.05661858454843
10.08.1953 00:00:00,13.8388231432263,74.2739757161435,14.3488646329344,8.7576189768113
17.08.1953 00:00:00,11.6167550864332,69.0028705524974,18.4161756807422,8.33161151745455
24.08.1953 00:00:00,16.0191517117493,73.2216371820472,15.1635613657426,7.78477440312388
31.08.1953 00:00:00,0,70.6756968539312,14.7494631104091,7.12503816918131
07.09.1953 00:00:00,0,65.1932705375826,15.0966694492883,6.36197067672069
14.09.1953 00:00:00,3.51328053121687,70.2280187989902,11.7358318442762,5.50663835407542
21.09.1953 00:00:00,13.6241178635376,80.0664126746673,12.8420118883126,4.57144570537016
28.09.1953 00:00:00,20.7871199672985,85.874165969915,12.6865480406068,3.56995541349177
05.10.1953 00:00:00,5.67923642552251,81.6892328718403,10.2344651793609,2.51669164659492
12.10.1953 00:00:00,0.0702039729089137,79.2798744026233,5.30543722156554,1.42692942046281
19.10.1953 00:00:00,5.37122007863551,86.3849709440444,12.3003018713468,0.316473071808851
26.10.1953 00:00:00,14.7744566257962,90.2190861657977,10.0161362096943,-0.798572945001751
02.11.1953 00:00:00,30.94280881871,88.9736629120274,6.1272113623161,-1.90203761368853
09.11.1953 00:00:00,4.9834298876439,92.0343266713625,3.09322726567428,-2.9779178771261
16.11.1953 00:00:00,0.111367251148332,88.9675410857643,2.83881542485039,-4.01061072249727
23.11.1953 00:00:00,0.00311590810292822,88.5514147193515,1.49740557688015,-4.98513946494322
30.11.1953 00:00:00,0.00311590810292822,85.8918025145416,1.72523893815422,-5.8873709476953
07.12.1953 00:00:00,0,81.0172689248853,4.48483455903582,-6.70422050897597
14.12.1953 00:00:00,5.99214758265238,93.3574433205428,0.833365033851256,-7.42384174302709
21.12.1953 00:00:00,6.25486401401257,96.6136332058383,-1.61875215626458,-8.03579830327027
28.12.1953 00:00:00,18.5484562985369,93.228384480729,0.550759829485669,-8.53121525596287
04.01.1954 00:00:00,10.594544073858,87.9382808165209,-6.17225706578535,-8.90290778946877
11.01.1954 00:00:00,66.3794123050483,89.9023625282656,-5.31070681719896,-9.14548541234634
18.01.1954 00:00:00,24.3299909998475,85.630068065887,1.31759032101106,-9.25543012925755
25.01.1954 00:00:00,27.5654789263826,80.0454392508057,-2.68686338068767,-9.23114746088915
01.02.1954 00:00:00,0.755977967470556,78.6308309010434,-11.6167844051069,-9.07298956797335
08.02.1954 00:00:00,2.76562725999396,81.7149016431491,-9.78618026057154,-8.78325014406899
15.02.1954 00:00:00,13.933767991341,95.5806907727566,0.142728725925303,-8.36613115112997
22.02.1954 00:00:00,1.62063104317533,89.2472390531018,-4.42460690688288,-7.82768188032816
01.03.1954 00:00:00,19.7524788223576,82.4662505312982,1.0279581223124,-7.17571122186288
08.03.1954 00:00:00,3.61766371157264,75.2778488477318,1.63135254770404,-6.41967441614161
15.03.1954 00:00:00,0,82.9496838532341,2.63771100228168,-5.57053592857616
22.03.1954 00:00:00,5.0624609867105,80.8964315207409,6.65254967929603,-4.64061043685677
29.03.1954 00:00:00,9.22593471968077,76.1876981916468,5.07435473782778,-3.6433842366515
05.04.1954 00:00:00,44.2536300935392,82.8857774278956,7.35794072897431,-2.59331965584429
12.04.1954 00:00:00,15.53555983805,77.6443571488995,2.52860949741999,-1.50564531389216
19.04.1954 00:00:00,25.2568901972009,80.1269534470538,2.27498481938859,-0.39613526783771
26.04.1954 00:00:00,14.2002475947179,76.8651962834945,5.71455261026508,0.719119751759445
03.05.1954 00:00:00,3.20349036460355,67.5459927406097,7.94161072712131,1.82394569756093
10.05.1954 00:00:00,13.4004699230264,77.4138683410565,8.76593123283028,2.90231977039573
